energy_eV,intensity
9.325481212396091735e+00,2.260387431789931379e-04
9.337184717837240910e+00,2.357233380140596600e-04
9.348888223278388310e+00,2.460813061357832723e-04
9.360591728719537485e+00,2.571768857540239115e-04
9.372295234160684885e+00,2.690821666404993829e-04
9.383998739601834060e+00,2.818782707384717354e-04
9.395702245042981460e+00,2.956567452330360782e-04
9.407405750484130635e+00,3.105212129377481808e-04
9.419109255925279811e+00,3.265893357978925438e-04
9.430812761366427210e+00,3.439951613060405621e-04
9.442516266807576386e+00,3.628919396336539307e-04
9.454219772248723785e+00,3.834555226070425959e-04
9.465923277689872961e+00,4.058884860766212555e-04
9.477626783131020360e+00,4.304251571948136570e-04
9.489330288572169536e+00,4.573377810339713731e-04
9.501033794013316935e+00,4.869441316123957917e-04
9.512737299454466111e+00,5.196169675124951218e-04
9.524440804895615287e+00,5.557958615410477999e-04
9.536144310336762686e+00,5.960021112971019500e-04
9.547847815777911862e+00,6.408576835833847693e-04
9.559551321219059261e+00,6.911094907483577221e-04
9.571254826660208437e+00,7.476607870466395927e-04
9.582958332101355836e+00,8.116121778255835440e-04
9.594661837542505012e+00,8.843157621639658296e-04
9.606365342983654187e+00,9.674474515238137493e-04
9.618068848424801587e+00,1.063104797988328239e-03
9.629772353865950762e+00,1.173941176894711946e-03
9.641475859307098162e+00,1.303352657045745745e-03
9.653179364748247338e+00,1.455742658625636121e-03
9.664882870189394737e+00,1.636903843666724688e-03
9.676586375630543913e+00,1.854580793187835712e-03
9.688289881071693088e+00,2.119318786554413424e-03
9.699993386512840488e+00,2.445778856396054347e-03
9.711696891953989663e+00,2.854838855677111799e-03
9.723400397395137063e+00,3.377072655661550720e-03
9.735103902836286238e+00,4.058760796611932467e-03
9.746807408277433638e+00,4.972820545041578902e-03
9.758510913718582813e+00,6.239990180244555339e-03
9.770214419159730213e+00,8.073413449838346898e-03
9.781917924600879388e+00,1.088358869647597371e-02
9.793621430042028564e+00,1.556876479158118831e-02
9.805324935483175963e+00,2.453633809126197843e-02
9.817028440924325139e+00,4.602594162601184730e-02
9.828731946365472538e+00,8.084476421114104860e-02
9.840435451806621714e+00,1.437481289256276606e-01
9.852138957247769113e+00,4.166133332031745073e-01
9.863842462688918289e+00,4.409056082009231714e-01
9.875545968130065688e+00,1.454727808979088821e-01
9.887249473571214864e+00,6.181184943605860099e-02
9.898952979012364040e+00,3.318384836837515867e-02
