energy_eV,intensity
9.358337438490735849e+00,2.472150853192412660e-04
9.370024524998143534e+00,2.584457149243209661e-04
9.381711611505551218e+00,2.705048757071062461e-04
9.393398698012958903e+00,2.834766446766088166e-04
9.405085784520368364e+00,2.974560544143545118e-04
9.416772871027776048e+00,3.125508525726110147e-04
9.428459957535183733e+00,3.288836001285449779e-04
9.440147044042591418e+00,3.465941850309505585e-04
9.451834130549999102e+00,3.658428479444148906e-04
9.463521217057406787e+00,3.868138428762650516e-04
9.475208303564814472e+00,4.097198896065631772e-04
9.486895390072223933e+00,4.348076198531577335e-04
9.498582476579631617e+00,4.623642789288747823e-04
9.510269563087039302e+00,4.927260248294993220e-04
9.521956649594446986e+00,5.262882751133933024e-04
9.533643736101854671e+00,5.635186999328828600e-04
9.545330822609262356e+00,6.049736636389700271e-04
9.557017909116670040e+00,6.513192017724142363e-04
9.568704995624077725e+00,7.033580211657609405e-04
9.580392082131487186e+00,7.620645830374831071e-04
9.592079168638894870e+00,8.286311563559913343e-04
9.603766255146302555e+00,9.045289423913436015e-04
9.615453341653710240e+00,9.915901791377162555e-04
9.627140428161117924e+00,1.092119872286717802e-03
9.638827514668525609e+00,1.209050022221107258e-03
9.650514601175933294e+00,1.346155859549112146e-03
9.662201687683342755e+00,1.508364281651123099e-03
9.673888774190750439e+00,1.702202268615634825e-03
9.685575860698158124e+00,1.936462792087416396e-03
9.697262947205565808e+00,2.223217514314959967e-03
9.708950033712973493e+00,2.579398789111197066e-03
9.720637120220381178e+00,3.029347652563206539e-03
9.732324206727788862e+00,3.609064075538337239e-03
9.744011293235196547e+00,4.373590937609804150e-03
9.755698379742606008e+00,5.410469320760618803e-03
9.767385466250013693e+00,6.865690583045816302e-03
9.779072552757421377e+00,8.997315928160786597e-03
9.790759639264829062e+00,1.229608294779059585e-02
9.802446725772236746e+00,1.778747075827311411e-02
9.814133812279644431e+00,2.790180525518578744e-02
9.825820898787052116e+00,4.949572577150239405e-02
9.837507985294461577e+00,1.072620486038773496e-01
9.849195071801869261e+00,3.118618798112277046e-01
9.860882158309276946e+00,5.376824214481742414e-01
9.872569244816684630e+00,1.892515258930568822e-01
9.884256331324092315e+00,7.420950096354608783e-02
9.895943417831500000e+00,3.784306868315497063e-02
9.907630504338907684e+00,2.266691177414156821e-02
9.919317590846315369e+00,1.503100335285679524e-02
9.931004677353724830e+00,1.068044607169623024e-02
9.942691763861132515e+00,7.976109795259162666e-03
