energy_eV,intensity
9.358337434618084316e+00,2.442815668445707405e-04
9.370024724459730336e+00,2.554277822957640490e-04
9.381712014301378133e+00,2.673992000235103205e-04
9.393399304143024153e+00,2.802797264117914272e-04
9.405086593984670174e+00,2.941642127352058866e-04
9.416773883826317970e+00,3.091602139078863053e-04
9.428461173667963990e+00,3.253900859411441751e-04
9.440148463509610011e+00,3.429934987475974080e-04
9.451835753351257807e+00,3.621304609996262806e-04
9.463523043192903828e+00,3.829849798335048646e-04
9.475210333034549848e+00,4.057695123297098494e-04
9.486897622876197644e+00,4.307304107176757350e-04
9.498584912717843665e+00,4.581546230872312838e-04
9.510272202559489685e+00,4.883779915831569637e-04
9.521959492401137481e+00,5.217955984998814099e-04
9.533646782242783502e+00,5.588747587192859686e-04
9.545334072084429522e+00,6.001714610351933498e-04
9.557021361926077319e+00,6.463513453570822118e-04
9.568708651767723339e+00,6.982167037830534122e-04
9.580395941609369359e+00,7.567415658178888640e-04
9.592083231451017156e+00,8.231177556053207714e-04
9.603770521292663176e+00,8.988160229877158788e-04
9.615457811134309196e+00,9.856681584488934198e-04
9.627145100975956993e+00,1.085978740753083685e-03
9.638832390817603013e+00,1.202679390120006513e-03
9.650519680659250810e+00,1.339545044880760495e-03
9.662206970500896830e+00,1.501502463000528370e-03
9.673894260342542850e+00,1.695078741847008338e-03
9.685581550184188870e+00,1.929067395652328196e-03
9.697268840025836667e+00,2.215541334131343378e-03
9.708956129867482687e+00,2.571435339066095466e-03
9.720643419709130484e+00,3.021094889737796670e-03
9.732330709550776504e+00,3.600527935892417885e-03
9.744017999392422524e+00,4.364791766869542504e-03
9.755705289234070321e+00,5.401454118814855501e-03
9.767392579075716341e+00,6.856557693298600056e-03
9.779079868917362361e+00,8.988268531906217634e-03
9.790767158759010158e+00,1.228755601492685992e-02
9.802454448600656178e+00,1.778046979286143983e-02
9.814141738442302199e+00,2.789896114110275438e-02
9.825829028283949995e+00,4.950533524459318352e-02
9.837516318125596015e+00,1.073181367989991530e-01
9.849203607967242036e+00,3.121127676085513336e-01
9.860890897808889832e+00,5.374421716717373565e-01
9.872578187650535853e+00,1.890762062652124875e-01
9.884265477492181873e+00,7.414684675631207089e-02
9.895952767333829669e+00,3.780738523437716242e-02
9.907640057175475690e+00,2.263923202365894852e-02
9.919327347017121710e+00,1.500584192102411875e-02
9.931014636858769506e+00,1.065574064326393552e-02
9.942701926700415527e+00,7.950893995290843341e-03
9.954389216542061547e+00,6.157627278601199988e-03
9.966076506383709344e+00,4.908947257532339514e-03
9.977763796225355364e+00,4.005184270979868059e-03
9.989451086067001384e+00,3.330296994506301914e-03
1.000113837590864918e+01,2.813167958348907708e-03
1.001282566575029520e+01,2.408266954576387606e-03
1.002451295559194122e+01,2.085360934595673933e-03
1.003620024543358902e+01,1.823742561104264555e-03
1.004788753527523504e+01,1.608846078681164813e-03
1.005957482511688106e+01,1.430186023752162304e-03
1.007126211495852885e+01,1.280059594211100087e-03
1.008294940480017488e+01,1.152705856250542870e-03
1.009463669464182090e+01,1.043746916389756089e-03
1.010632398448346869e+01,9.498080039666036405e-04
